64,没,méi,отрицательная частица,"他昨天没来过  [tā zuótiān méi láiguo] — он вчера не приходил"
65,没关系,méi guān xi,неважно; ничего; пустяки,
66,米饭,mǐ fàn,варёный рис,
67,明天,míng tiān,завтра; завтрашний день,"明天见  ! [míngtiānjiàn] — до завтра!; завтра увидимся"
68,名字,míng zi,"имя (человека); кличка (животного)",
69,哪,nǎ,какой; который,"你学的是哪一国语 言  ? [nǐ xuéde shì nǎ yī guó yǔyán] — какой иностранный язык вы изучаете?"
70,那,nà,"тот; то; тогда, в таком случае","那棵树  [nàkē shù] — то дерево 那是他的东西  [nà shì tāde dōngxi] — то — его вещи"
71,呢,ne,"фразовая частица, выражающая вопрос же?","你们看什么呢  ? [nǐmen kàn shénme ne] — что же вы смотрите?你呢  [nǐ ne] — а ты?"
72,能,néng,способный; способность,"无能  [wúnéng] — неспособный; бесталанный"
73,你,nǐ,ты; вы; твой; ваш,"他不认识你  [tā bù rènshi nǐ] — он не знает тебя [Вас]; он с тобой [с Вами] не знаком"
74,年,nián,год; годы,"今年  [jīnnián] — текущий год; в текущем году 近年 来  [jìnnián lái] — (за) последние годы"
75,女儿,nǚ ér,дочь,
76,朋友,péng you,"друг, товарищ; друзья",
77,漂亮,piào liang,красивый,
78,苹果,píng guǒ,яблоко,
79,七,qī,семь; седьмой,
80,钱,qián,деньги,"花钱  [huā qián] — тратить деньги 有钱的人  [yǒu qiánde rén] — богатый человек"
81,前面,qián miàn,перед; передний; впереди; перёд; выше; ранее,"前面所说的 [qiánmiàn suǒshuōde] — вышесказанное"
82,请,qǐng,просить; пожалуйста!; приглашать,"请坐  [qǐng zuò] — садитесь; пожалуйста 请医生 [qǐng yīshēng] — пригласить врача"
83,去,qù,уходить; отправляться; идти,"你上那儿去  ? [nǐ shàng nǎr qù] — Куда ты идёшь?他 开会去了  [tā kāihuì qùle] — он пошёл на собрание"
84,热,rè,горячий; увлечение; мода,"热茶  [rè chá] — горячий чай 旅游热 [lǚyóurè] — туристский бум"
85,人,rén,человек; люди,"年轻人 [niánqīngrén] — молодой человек 自己人  [zìjǐrén] — свой человек; свои люди"
86,认识,rèn shi,"знать; быть знакомым; знакомиться",
87,日,rì,"солнце; солнечный; день; число, дата","日出  [rìchū] — восход солнца 日报 [rìbào] — ежедневная газета"
88,三,sān,три; третий,"三个人  [sānge rén] — три человека"
89,商店,shāng diàn,магазин,
90,上,shàng,верх; прошлый; на; в,"上衣  [shàngyī] — верхняя одежда 上 次  [shàngcì] — (в) прошлый раз"
91,上午,shàng wǔ,до полудня,
92,少,shǎo,мало; немного; редко,"我的行李很少 [wǒde xíngli hěn shǎo] — багажа у меня очень мало 他很少迟到  [tā hěn shǎo chídào] — он очень редко опаздывает"
93,谁,shéi,,
94,什么,shén me,"что?, что такое?; какой?; как?",
95,十,shí,десять; десятый,"十个人  [shígerén] — десять человек"
96,时候,shí hou,"время, промежуток; времени; во время",
97,是,shì,есть; быть; являться; да; правда,"我是工人  [wǒ shì gōngrén] — я рабочий 他说得是 [tā shuōde shì] — он сказал правильно"
98,书,shū,книга,新书  [xīnshū] — новая книга
99,水,shuǐ,вода; водяной; гидро-,"喝水  [hē shuǐ] — пить воду 开水 [kāishuǐ] — кипячёная вода; кипяток"
100,水果,shuǐ guǒ,фрукты; фруктовый,
101,睡觉,shuì jiào,спать,
102,说话,shuō huà,говорить; разговаривать,
103,四,sì,четыре; четвёртый,四个人  [sìge rén] — четыре человека
104,岁,suì,годы; лета,"岁末  [suìmò] — конец года 我三十岁  [wǒ sānshí suì] — мне тридцать лет"
105,他,tā,он; его,"他是我的哥哥  [tā shì wǒde gēge] — он мой старший брат 他弟弟  [tā dìdi] — его младший брат"
106,她,tā,она; её,
107,太,tài,"слишком, чересчур; чрезвычайно",太晚  [tài wǎn] — слишком поздно
108,天气,tiān qì,погода; климат,"天气预报  [tiānqì yùbào] — прогноз погоды"
109,听,tīng,слушать,"听报告  [tīng bàogào] — слушать доклад 听音乐  [tīng yīnyuè] — слушать музыку"
110,同学,tóng xué,"соученик, однокашник",
111,喂,wèi,кормить; алло!; эй!,"喂小孩  [wèi xiǎohái] — кормить ребёнка 喂鸡  [wèi jī] — кормить кур"
112,我,wǒ,я; мой; наш,
113,我们,wǒ men,мы; наш,
114,五,wǔ,пять; пятый,"五年级  [wǔ niánjí] — пятый курс [класс]"
115,喜欢,xǐ huan,нравиться; любить,
116,下,xià,"нижний; низ; послелог под, при; следующий","下嘴唇  [xià zuǐchún] — нижняя губа 站在树下 [zhàn zài shù xià] —" ,,,,"стоять под деревом 下月  [xiàyuè] — будущий месяц"
117,下午,xià wǔ,"вторая половина дня, после полудня",
118,下雨,xià yǔ,"идёт дождь; стоит дождливая погода",
119,先生,xiān sheng,господин; мистер,
120,现在,xiàn zài,теперь; сейчас; ныне,
121,想,xiǎng,думать; собираться; хотеть,"想办法  [xiǎng bànfǎ] — изыскивать [обдумывать] методы [способы]我也想试试  [wǒ yě xiǎng shìshì] — я тоже хочу попробовать"
122,小,xiǎo,"маленький; мелкий; малый; молодой; младший","这间房间太小 [zhèjiān fángjiān tài xiǎo] — эта комната слишком маленькая 他比我小一岁  [tā bǐ wǒ xiǎo yīsuì] — он моложе меня на один год"
123,小姐,xiǎo jie,барышня; мисс,
124,些,xiē,"немного, несколько","你快些走  [nǐ kuài xiē zǒu] — иди побыстрее 这些 [zhèxie] — эти (несколько)"
125,写,xiě,писать; записывать; описывать,"写信  [xiě xìn] — писать письмо 写小" ;;;;说  [xiě xiǎoshuō] — писать рассказ
126,谢谢,xiè xie,"спасибо, благодарю; благодарить",
127,星期,xīng qī,неделя,"今天星期几  ? [jìntiān xīngqījǐ] — какой сегодня день недели?"
128,学生,xué sheng,студент; ученик; учащийся,"学生证 [xuéshēngzhèng] — студенческий билет"
129,学习,xué xí,"учиться; обучаться; обучение, учёба",
130,学校,xué xiào,"школа; учебное заведение; училище",
131,一,yī,один; единица; первый,"一次  [yī cì] — один раз 一年  [yī nián] — один год"
132,衣服,yī fu,одежда; платье; костюм,
133,医生,yī shēng,"врач, доктор",
134,医院,yī yuàn,больница; госпиталь,
135,椅子,yǐ zi,стул,
136,有,yǒu,иметь(ся); иметь в наличии; обладать; есть,"我没有工夫  [wǒ méiyǒu gōngfu] — у меня нет свободного времени 有这种可能  [yǒu zhèzhǒng kěnéng] — имеется [есть] такая возможность"
137,月,yuè,луна; месяц,"上月  [shàng yuè] — прошлый месяц 月票  [yuèpiào] — месячный (проездной) билет"
138,在,zài,"быть в живых; существовать; находиться; в; на","他的祖父还在  [tāde zǔfù hái zài] — его дед ещё жив 书在桌 子上  [shū zài zhuōzi shang] — книга (находится) на столе 他们在礼堂开会 [tāmen zài lǐtáng kāihuì] — они проводят собрание в актовом зале"
139,再见,zài jiàn,до свидания,
140,怎么,zěn me,"как?, каким образом?",
141,怎么样,zěn me yàng,"как, каким образом; каков",
142,这,zhè,"это, этот","这是谁  ? [zhè shì shuí] — кто это?这小孩  [zhè xiǎohái] — этот ребёнок"
143,中国,Zhōng guó,Китай; китайский,"中国话 [zhōngguóhuà] — китайский язык"
144,中午,zhōng wǔ,полдень,
145,住,zhù,"жить, проживать","我家住在城外  [wǒ jiā zhù zài chéng wài] — моя семья живёт за городом记住  [jìzhù] — запомнить 站住  ! [zhànzhù] — стой! (команда)"
146,桌子,zhuō zi,стол,书桌  [shūzhuō] — письменный стол
147,字,zì,иероглиф; слово,"汉字  [hànzì] — китайские иероглифы 常用字 [chángyòngzì] — наиболее употребительные иероглифы"
148,昨天,zuó tiān,вчера; вчерашний день,
149,坐,zuò,сидеть; садиться; ехать на [в],"请坐  ! [qǐng zuò] — садитесь; пожалуйста!坐火车 [zuò huǒchē] — ехать на поезде"
150,做,zuò,"делать; изготавливать; быть [работать] кем-либо; писать","你在做什么  ? [nǐ zài zuò shénme] — что ты делаешь?做 教员  [zuò jiàoyuán] — работать преподавателем"
151,吧,ba,выражает побуждение или предположение,"你放心吧  [nǐ fàngxīn ba] — успокойся; не беспокойся"
152,白,bái,белый; седой,"白衣服  [bái yīfu] — белое платье 白头发 [bái tóufa] — седые волосы"
153,百,bǎi,сто; сотня,
154,帮助,bāng zhù,помогать; помощь,
155,报纸,bào zhǐ,газета; газеты,
156,比,bǐ,сравнивать; в сравнении,"比力气  [bǐ lìqì] — помериться силами 他比我高  [tā bǐ wǒ gāo] — он выше меня ростом"
157,别,bié,"расставаться, разлучатьсяне нужно; нечего; не","别家  [biéjiā] — расстаться с семьёй 别动  ! [bié dòng] — не двигаться!, ни с места!"
158,长,cháng,"длинный; длительный, долгий","路很长  [lù hěn cháng] — дорога очень длинная 很长的过程  [hěn chángde guòchéng] — очень длительный процесс"
159,唱歌,chàng gē,петь; пение,
160,出,chū,выходить; выезжать; превышать,"出房间  [chū fángjiān] — выйти из комнаты 不出三个月  [bùchū sānge yuè] — не более трёх месяцев"
161,穿,chuān,пронзить; пробить; одевать; надевать,"穿个洞  [chuānge dòng] — проделать дыру 穿衣服  [chuān yīfu] — одеваться; носить одежду [костюм]"
162,船,chuán,"судно, корабль; пароход; лодка","渔船  [yúchuán] — рыболовное судно 帆船  [fānchuán] — парусник"
163,次,cì,следующий; второй; раз,"次日  [cìrì] — на следующий [другой] день 一天 三次  [yītiān sāncì] — три раза в день"
164,从,cóng,из; от; с,"从上到下  [cóng shàng dào xià] — сверху донизу 从莫 斯科到北京  [cóng mòsīkē dào běijīng] — от Москвы до Пекина"
165,错,cuò,"неправильный; ошибочный; ошибаться; ошибочно","我错了  [wǒ cuòle] — я ошибся 说错 [shuōcuò] — сказать неправильно; оговориться"
166,打篮球,dá lán qiú,играть в баскетбол,
167,大家,dà jiā,все; все вместе,
168,但是,dàn shì,но; однако; тем не менее,
169,到,dào,достигать; прибывать; до,"火车到了  [huǐchē dàole] — поезд прибыл 到半夜 [dào bànyè] — до полуночи; к полуночи"
170,得,de,"показатель обстоятельства, следующего за сказуемым","他跑得快  [tā pǎode kuài] — он бежит быстро"
171,得,děi,
,
172,弟弟,dì di,младший брат,
173,第一,dì yī,первый; во-первых; первейший; номер один,"第一把手 [dìyībǎshǒu] — глава; начальник; первое лицо 第一手 [dìyīshǒu] — из первых рук"
174,懂,dǒng,"понять, уразуметь","你懂了没有  ? [nǐ dǒngle méiyǒu] — Вы поняли?你懂什么  ! [nǐ dǒng shénme] — Ничего вы не понимаете!"
175,房间,fáng jiān,комната; номер,
176,非常,fēi cháng,чрезвычайный; необыкновенный,"非常会议  [fēicháng huìyì] — чрезвычайная сессия"
177,服务员,fú wù yuán,обслуживающий персонал; официант,
178,高,gāo,высокий; высший (об образовании),"他比我高  [tā bǐ wǒ gāo] — он выше меня 高年级  [gāo niánjí] — старшие классы [курсы]"
179,告诉,gào su,сказать; сообщить,
180,哥哥,gē ge,старший брат,
181,给,gěi,давать; предоставлять,"他给我一本书  [tā gěi wǒ yīběn shū] — он дал мне книгу 给 孩子讲个故事  [gěi háizi jiǎngge gùshi] — рассказать ребёнку сказку"
182,公共汽车,gōng gòng qì chē,автобус,
183,公斤,gōng jīn,килограмм,
184,公司,gōng sī,компания; фирма,
185,贵,guì,дорогой; ценный,"东西又好又不贵 [dōngxi yòu hǎo yòu bùguì] — вещь и хорошая и недорогая 创作贵精不贵多  [chuàngzuò guì jǐng bùguì duō] — в творчестве важно качество; а не количество; творчество ценно качеством; а не количеством"
186,还,hái,ещё; всё ещё,"还早  [háizǎo] — ещё рано 今天比昨天还冷  [jīntiān bǐ zuótiān hái lěng] —" ;;;;"сегодня ещё холоднее чем вчера"
187,孩子,hái zi,"ребёнок, дитя",
188,好吃,hǎo chī,вкусный,
189,号,hào,название; размер; число (месяца),"店号  [diànhào] — название магазина 大号  [dàhào] — большой размер; большого размера"
190,黑,hēi,чёрный; тёмный; мрачный,"黑头发  [hēi tóufa] — чёрные волосы 天黑了  [tiān hēile]" ;;;;— стемнело
191,红,hóng,"красный, алый",红旗  [hóngqí] — красное знамя
192,欢迎,huān yíng,приветствовать; встречать,"欢迎词 [huānyíngcí] — приветственная речь; приветствие致欢迎词  [zhì huānyíngcí] — обратиться с приветствием"
193,还,huán,
,
194,回答,huí dá,отвечать; ответ,
195,机场,jī chǎng,аэродром,"军用机场  [jūnyòng jīchǎng] — военный аэродром"
196,鸡蛋,jī dàn,куриное яйцо,
197,件,jiàn,"сч. сл. для предметов одежды, дел, вещей, документов","两件事  [liǎngjiàn shì] — два дела 件工作  [yījiàn gōngzuò] — (одна) работа"
198,教室,jiào shì,класс; аудитория,
199,姐姐,jiě jie,"старшая сестра; в обращении сестрица",
200,介绍,jiè shào,"рекомендовать; знакомить, представлять","介绍信  [jièshàoxìn] — рекомендательное письмо; рекомендация"
201,进,jìn,идти [продвигаться] вперёд; входить,"南进  [nánjìn] — двигаться на юг 进 屋子  [jìn wūzi] — войти в комнату"
202,近,jìn,"близкий, вблизи; рядом","我住得很近  [wǒ zhùde hěn jìn] — я живу очень близко"
203,就,jiù,"именно, как раз; сейчас же, немедленно; тогда; то; в таком случае","就在这里  [jiù zài zhèli] — как раз здесь 我就回来  [wǒ jiù huílai] — я сейчас же вернусь想起来就说 [xiǎngqilai jiù shuō] — когда вспомнишь, (то) скажи"
204,觉得,jué de,"чувствовать, ощущать; сознавать","我觉得  [wǒ juéde] — мне кажется; я думаю; по-моему"
205,咖啡,kā fēi,кофе,"清咖啡  [qīng kāfēi] — чёрный кофе 牛奶咖啡  [niúnǎi kāfēi] — кофе с молоком"
206,开始,kāi shǐ,начинать; начало,
207,考试,kǎo shì,экзамен; экзамены,"экзамен; экзамены 毕业考试  [bìyè kǎoshì] — выпускные экзамены 进行考试 [jìnxíng kǎoshì] — проводить экзамены"
208,可能,kě néng,возможно; вероятно,"资产阶级领导的东 西不可能属于人民" ;;;;"大_  то; что находится под руководством буржуазии; не может относиться к (принадлежать) народным массам"
209,可以,kě yǐ,"можно, возможно; дозволено, разрешается",
210,课,kè,урок; занятия; предмет,"上课  [shàngkè] — идти на занятия 俄 语课  [éyǔkè] — урок русского языка"
211,快,kuài,"быстрый, скорый; радостный, весёлый","他快回来  [tā kuài huílái] — он скоро вернётся 快些 [kuàixiē] — побыстрее!"
212,快乐,kuài lè,"весёлый; радостный; весело",
213,累,lèi,уставать; утомлять(ся),"我累了  [wǒ lèile] — я устал"
214,离,lí,отстоять от; от; покидать,"车站离这儿不远 [chēzhàn lí zhèr bùyuǎn] — станция [остановка] находится недалеко отсюда 他始终没离会场  [tā shǐzhōng méi lí huìchǎng] — он до самого конца не покидал зала заседаний"
215,两,liǎng,два; пара; оба,两本书  [liǎngběn shū] — две книги
216,路,lù,дорога; путь; улица,山路  [shānlù] — горная дорога
217,旅游,lǚ yóu,туризм; туристический,"旅游游车 [lǚyóuchē] — туристический автобус"
218,卖,mài,продавать; торговать,"卖一批货  [mài yī pī huò] — продать партию товара"
219,慢,màn,медленный; медлить; отставать,"树长得慢  [shù zhǎngde màn] — деревья растут медленно 表慢两分钟  [biǎo màn liǎngfēnzhōng] — часы отстают на две минуты"
220,忙,máng,быть занятым; хлопотать,"工作忙  [gōngzuò máng] — много работы 这几天我很 忙  [zhè jǐtiān wǒ hěn máng] — эти дни я очень занят"
221,每,měi,"каждый, всякий","每次  [měicì] — каждый раз 每天 [měitiān] — каждый день, ежедневно 每个人  [měige rén] — каждый человек"
222,妹妹,mèi mei,младшая сестра,
223,门,mén,дверь; ворота; вход,"开门  [kāi mén] — открыть дверь [ворота]"
224,男人,nán rén,мужчина,
225,您,nín,"Вы, Ваш",
226,牛奶,niú nǎi,молоко; молочный,
227,女人,nǚ rén,женщина,"女人裸体画  жив. ню (изображение обнажённого женского тела)"
228,旁边,páng biān,сбоку; рядом; около,
229,跑步,pǎo bù,бег,"跑步走  ! [pǎobù zǒu] — бегом; марш!"
230,便宜,pián yi,дешёвый,
231,票,piào,билет; талон; квитанция,"电车票 [diànchēpiào] — трамвайный билет"
232,妻子,qī zi,жена,
233,起床,qǐ chuáng,встать с постели,
234,千,qiān,тысяча; кило-,千卡  [qiānkǎ] — килокалория
235,晴,qíng,"ясный, безоблачный; проясниться","天晴了  [tiān qíngle] — (небо) прояснилось 晴空 [qíngkōng] — чистое [безоблачное] небо"
236,去年,qù nián,прошлый год,
237,让,ràng,заставлять; позволять; разрешать; уступать,"不要让人等你 [bùyào ràng rén děng nǐ] — не заставляйте людей ждать вас 让我想一想  [ràng wǒ xiǎngyīxiǎng] — разрешите мне подумать"
238,上班,shàng bān,"идти на работу; заступить на смену",
239,身体,shēn tǐ,тело; телосложение; здоровье,"他身体很好  [tā shēntǐ hěn hǎo] — у него очень хорошее здоровье"
240,生病,shēng bìng,заболеть,
241,生日,shēng rì,день рождения,
242,时间,shí jiān,время; промежуток времени,"没有时间  [méiyǒu shíjiān] — нет времени; некогда"
243,事情,shì qing,"дело, событие, инцидент; случай, факт",
244,手表,shǒu biǎo,наручные часы,
245,手机,shǒu jī,"Мобильный (сотовый) телефон",
246,送,sòng,посылать; дарить; провожать,"送报  [sòngbào] — доставлять газеты 送礼物  [sòng lǐwù] — преподнести подарок 送客  [sòngkè] — провожать гостей"
247,所以,suǒ yǐ,потому; таким образом,
248,它,tā,оно; она; он,
249,踢,tī,
,
250,题,tí,тема; вопрос; проблема,"话题  [huàtí] — тема разговора 考题 [kǎotí] — экзаменационные вопросы 讨论题  [tǎolùntí] — тема дискуссии"
251,跳舞,tiào wǔ,танцевать; плясать,
252,外,wài,"внешний, наружный; снаружи; вне; за","国外  [guówài] — за границей 往外走 [wǎng wài zǒu] — выйти наружу"
253,完,wán,"закончить, завершить; кончиться","时间完了  [shíjiān wánle] — время истекло 用完 [yòngwán] — до конца использовать [израсходовать]"
254,玩,wán,играть; забавляться; гулять; развлекаться,"玩球  [wán qiú] — играть в мяч 出去玩 [chūqu wán] — выйти погулять"
255,晚上,wǎn shang,вечером; вечер,
256,为,wèi,"для, ради; за","为人民服务  [wèi rénmín fúwù] — служить народу为  …  而斗争 [wèi... ér dòuzhēng] — бороться за что-либо"
257,问,wèn,спрашивать; справляться о чём-либо,"问路  [wèn lù] — спрашивать дорогу 问一个问题  [wèn" ;;;;"yīge wèntí] — задать вопрос"
258,问题,wèn tí,вопрос; проблема; тема,提问题  [tí wèntí] — задать вопрос
259,西瓜,xī guā,арбуз,
260,希望,xī wàng,надеяться; надежда,
261,洗,xǐ,мыть; стирать; купать; умывать,"洗手  [xǐshǒu] — мыть руки 洗衣服 [xǐ yīfu] — стирать бельё"
262,向,xiàng,быть обращённым к; направление; курс,"窗子向南  [chuángzi xiàng nán] — окна выходят на юг 向朋 友借钱  [xiàng péngyou jièqián] — взять в долг у приятеля"
263,小时,xiǎo shí,час,
264,笑,xiào,смеяться; смех; улыбаться; улыбка,"他笑起来了  [tā xiàoqilaile] — он рассмеялся 大笑 [dàxiào] — громко рассмеяться 傻笑  [shǎxiào] — глупая улыбка"
265,新,xīn,новый; современный; свежий,新书  [xīnshū] — новая книга
266,姓,xìng,фамилия; по фамилии,"你姓什么  ? [nǐ xìng shénme] — как ваша фамилия?姓王的  [xìng wáng de] — человек по фамилии Ван"
267,休息,xiū xi,"отдыхать; отдых; перерыв; антракт",
268,雪,xuě,снег,下雪  [xià xuě] — идёт снег
269,颜色,yán sè,цвет; окраска,"给  …  颜色看看 [gěi... yánsè kànkàn] — проучить кого-либо"
270,眼睛,yǎn jing,глаза,
271,羊肉,yáng ròu,баранина,
272,药,yào,лекарство; медикаменты; лекарственный,"服药  [fú yào] — принимать лекарство"
273,要,yào,"хотеть, желать; нужно, необходимо; просить; требовать","我要去看电影  [wǒ yào qù kàn diànyǐng] — я хочу пойти в кино"
274,也,yě,"тоже, также; и","我也去  [wǒ yě qù] — я тоже пойду"
275,已经,yǐ jīng,уже,
276,一起,yī qǐ,"вместе; совместно; сообща",
277,意思,yì si,"мысль; идея; смысл, значение; интерес","很有意思  [hěn yǒu yìsi] — очень интересно" ,,,,[занятно]
278,阴,yīn,"_инь_ (женское начало в древней китайской философии); тёмный; пасмурный; тень","阴天  [yīntiān] — пасмурный день; пасмурная погода树阴  [shùyīn] — тень от дерева"
279,因为,yīn wèi,"так как, потому что; вследствие того, что; ибо","因为  …  关系 [yīnwèi... guānxi] — по… обстоятельствам; принимая во внимание…因为家庭关系  [yīnwèi jiātíng guānxi] — по семейным обстоятельствам"
280,游泳,yóu yǒng,плавать; плавание,"游泳衣  [yóuyǒngyī] — купальник"
281,右边,yòu bian,"правая сторона; справа; правый",
282,鱼,yú,рыба; рыбный; рыбий,"打鱼  [dǎ yú] — ловить рыбу 鱼汤 [yútāng] — рыбный суп; уха"
283,元,yuán,юань,
284,远,yuǎn,далёкий; дальний; далеко,"他住得很远  [tā zhùde hěn yuǎn] — он живёт очень далеко"
285,运动,yùn dòng,спорт; атлетика; спортивный,"田径运动  [tiánjìng yùndòng] — лёгкая атлетика 运动服 [yùndòngfú] — спортивный костюм"
286,再,zài,снова; опять; ещё,"再说一遍  [zài shuō yī biàn] — сказать ещё раз; повторить"
287,早上,zǎo shang,"утром, спозаранку",
288,张,zhāng,"раскрывать; открывать; сч. сл. для листов, столов, кроватей",
289,长,zhǎng,
,
290,丈夫,zhàng fu,муж; настоящий мужчина,
291,找,zhǎo,искать; разыскивать; отыскивать,"你找什么东西  [nǐ zhǎo shénme dōngxi] — что вы ищете?"
292,着,zhe,"глагольный суффикс, указывающий на продолженный характер действия или состояния","他们开着会呢 [tāmen kāizhe huì ne] — они на собрании 墙上挂着一幅画  [qiáng shang guàzhe yī fú huà] — на стене висит картина"
293,真,zhēn,настоящий; истинный; подлинный; достоверный; действительный,"这是真事  [zhè shì zhēn shì] — это действительный факт 真面目  [zhēn miànmù] — истинное [подлинное] лицо; истинный облик"
